iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
265,88.577,450.413,122.487,661.579,748,1539,0,24,20,12,16
266,0.143,813.291,21.142,834.667,752,1547,1,48,40,24,28
267,0.108,674.432,89.868,764.511,755,1554,1,36,32,18,24
268,0.171,1660.69,24.362,1685.32,759,1562,1,48,40,24,28
269,0.497,282.489,132.314,415.403,760,1565,0,12,12,6,9
270,0.113,2419.8,123.772,2543.79,767,1580,3,84,72,42,55
271,0.373,1399.06,97.292,1496.82,773,1592,2,72,60,36,47
272,0.098,1396.64,34.943,1431.79,777,1600,1,48,40,24,28
273,0.491,0.055,202.268,202.917,777,1600,0,0,0,0,5
274,0.086,1101.41,168.013,1269.61,781,1608,1,48,40,24,31
275,0.163,363.133,154.908,518.306,783,1612,0,24,20,12,16
276,0.098,0.258,181.352,181.809,783,1612,0,0,0,0,5
277,0.052,468.046,157.003,625.202,785,1616,0,24,20,12,16
278,0.113,0.156,159.817,160.188,785,1616,0,0,0,0,5
279,0.092,1368.12,27.582,1395.92,789,1624,1,48,40,24,28
280,84.043,245.576,109.865,439.577,790,1627,0,12,12,6,9
281,0.088,0.08,169.17,169.421,790,1627,0,0,0,0,5
282,0.044,2503.83,122.166,2626.17,798,1645,4,96,84,48,60
283,0.352,0.085,173.488,174.013,798,1645,0,0,0,0,5
284,1.4,1510.61,113.254,1625.36,804,1657,2,72,60,36,47
285,90.549,870.132,187.955,1148.79,806,1661,0,24,20,12,16
286,0.336,0.067,298.208,298.704,806,1661,0,0,0,0,8
287,139.083,2438.81,28.27,2606.29,812,1673,2,72,60,36,43
288,0.353,968.102,104.323,1072.87,816,1681,1,48,40,24,31
289,0.171,0.049,199.023,199.331,816,1681,0,0,0,0,7
290,87.475,462.537,128.79,678.926,818,1685,0,24,20,12,16
291,0.174,838.393,103.127,941.796,822,1693,1,48,40,24,31
292,0.183,0.067,199.848,200.191,822,1693,0,0,0,0,8
293,0.101,2234.52,168.107,2402.82,829,1708,3,84,72,42,52
294,0.29,1033.65,29.355,1063.41,833,1716,1,48,40,24,28
295,0.179,0.266,263.2,263.745,833,1716,0,0,0,0,8
296,0.052,866.067,35.717,901.937,836,1723,1,36,32,18,21
297,533.993,862.81,234.008,1631.06,838,1727,0,24,20,12,16
298,0.422,765.573,373.964,1140.21,840,1731,0,24,20,12,16
299,0.409,513.334,182.071,695.946,842,1735,0,24,20,12,16
300,0.518,592.359,205.881,798.867,844,1739,0,24,20,12,16
301,85.595,530.409,153.251,769.366,846,1743,0,24,20,12,16
302,0.086,1680.64,128.073,1809.05,850,1751,1,48,40,24,31
303,0.531,1080.41,111.224,1192.26,854,1759,1,48,40,24,31
304,0.246,1126.33,143.361,1270.07,858,1767,1,48,40,24,31
305,467.854,1449.36,150.305,2067.64,862,1775,1,48,40,24,31
306,0.368,0.076,293.468,294.008,862,1775,0,0,0,0,8
307,0.054,503.275,174.499,677.922,864,1779,0,24,20,12,16
308,0.234,0.183,233.44,233.951,864,1779,0,0,0,0,5
309,0.107,0.064,204.075,204.339,864,1779,0,0,0,0,5
310,94.212,991.865,42.145,1128.34,867,1786,1,36,32,18,21
311,0.23,0.14,300.498,300.961,867,1786,0,0,0,0,7
312,0.087,522.999,181.905,705.114,869,1790,0,24,20,12,16
313,480.956,666.818,180.105,1328.09,871,1794,0,24,20,12,16
314,0.401,1676.34,131.526,1808.41,877,1806,2,72,60,36,47
315,0.398,1469.87,41.234,1511.63,881,1814,1,48,40,24,28
316,0.577,1794.04,116.734,1911.46,887,1826,2,72,60,36,47
317,0.193,0.108,248.196,248.599,887,1826,0,0,0,0,5
318,0.144,0.213,203.109,203.582,887,1826,0,0,0,0,5
319,0.171,504.655,183.718,688.663,889,1830,0,24,20,12,16
320,1.27,0.186,472.137,473.831,889,1830,0,0,0,0,5
321,0.268,584.288,203.243,787.892,891,1834,0,24,20,12,16
322,0.186,1829.98,36.59,1866.86,895,1842,1,48,40,24,28
323,0.62,0.223,243.893,244.84,895,1842,0,0,0,0,5
324,0.121,1041.97,34.647,1076.84,898,1849,1,36,32,18,21
325,0.276,1313.23,42.753,1356.36,902,1857,1,48,40,24,28
326,0.207,0.085,318.447,318.934,902,1857,0,0,0,0,8
327,0.08,1374.2,236.987,1611.38,904,1861,0,24,20,12,16
328,1.168,0.245,481.346,482.93,904,1861,0,0,0,0,5
329,0.126,776.987,199.044,976.273,906,1865,0,24,20,12,16
330,1.329,0.253,755.322,757.094,906,1865,0,0,0,0,8
331,0.983,0.26,548.116,549.607,906,1865,0,0,0,0,7
332,0.226,0.08,342.179,342.617,906,1865,0,0,0,0,8
333,0.088,3572.89,186.141,3759.29,914,1883,4,96,84,48,60
334,0.38,0.051,374.738,375.308,914,1883,0,0,0,0,8
335,189.071,877.394,222.218,1288.94,916,1887,0,24,20,12,16
336,0.169,1542.08,45.975,1588.33,920,1895,1,48,40,24,28
337,0.26,870.214,276.438,1147.04,922,1899,0,24,20,12,16
338,0.252,0.273,437.163,437.807,922,1899,0,0,0,0,8
339,0.29,672.177,223.631,896.22,924,1903,0,24,20,12,16
340,0.364,640.245,195.541,836.275,926,1907,0,24,20,12,16
341,0.3,629.555,222.3,852.271,928,1911,0,24,20,12,16
342,0.286,616.999,175.374,792.762,930,1915,0,24,20,12,16
343,0.223,0.177,301.637,302.133,930,1915,0,0,0,0,8
344,0.107,1750.03,47.102,1797.35,934,1923,1,48,40,24,28
345,0.421,571.076,203.028,774.65,936,1927,0,24,20,12,16
346,107.08,629.077,199.14,935.434,938,1931,0,24,20,12,16
347,0.187,2448.59,195.069,2644.02,944,1943,2,72,60,36,47
348,0.876,1366.19,33.246,1400.42,948,1951,1,48,40,24,28
349,0.142,0.076,350.431,350.755,948,1951,0,0,0,0,8
350,1.452,0.287,640.69,642.624,948,1951,0,0,0,0,8
351,0.173,0.12,289.104,289.522,948,1951,0,0,0,0,5
352,0.103,0.15,359.631,360.015,948,1951,0,0,0,0,8
353,0.107,1858.5,40.189,1898.91,953,1962,2,60,52,30,36
354,0.142,0.091,247.78,248.183,953,1962,0,0,0,0,5
355,0.139,1173.29,281.803,1455.38,955,1966,0,24,20,12,16
356,0.402,1566.26,168.13,1734.95,959,1974,1,48,40,24,31
357,0.188,1445.55,42.046,1487.91,963,1982,1,48,40,24,28
358,0.229,0.11,365.786,366.23,963,1982,0,0,0,0,8
359,0.082,0.138,263.749,264.076,963,1982,0,0,0,0,5
360,0.129,625.175,254.221,879.649,965,1986,0,24,20,12,16
361,0.24,0.189,813.065,813.621,965,1986,0,0,0,0,8
362,0.516,1562.74,200.101,1763.46,969,1994,1,48,40,24,31
363,0.392,1359.26,157.904,1517.66,973,2002,1,48,40,24,31
364,0.187,581.555,232.549,814.416,975,2006,0,24,20,12,16
365,0.123,592.502,222.211,814.96,977,2010,0,24,20,12,16
