iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
226,0.393,37085.9,7446.19,44532.6,770,1593
227,0.412,86742.1,5752.23,92494.9,774,1601
228,0.467,93393.5,62.005,93456,778,1609
229,166351,44956,9614.3,220921,780,1613
230,0.515,39370.9,9731.87,49103.5,782,1617
231,0.341,96824,4941.21,101766,787,1628
232,0.343,128294,6331.44,134626,793,1640
233,0.385,0.065,16947.7,16948.3,793,1640
234,0.307,0.253,14331.2,14331.9,793,1640
235,0.229,131319,6919.7,138239,799,1652
236,0.34,41247.4,9874.25,51122.2,801,1656
237,170341,40582.2,10202.1,221126,803,1660
238,0.555,0.268,17369.9,17370.9,803,1660
239,0.48,89367.4,62.622,89430.6,807,1668
240,0.903,89560.2,6979.34,96540.7,811,1676
241,0.414,38092.5,8391.09,46484.1,813,1680
242,0.522,91060.5,6790.82,97852.1,817,1688
243,0.412,84354.9,6897.85,91253.3,821,1696
244,0.45,0.256,14304.5,14305.4,821,1696
245,0.262,0.263,17805,17805.7,821,1696
246,0.888,0.244,17046.5,17047.8,821,1696
247,0.406,83378.2,6912.42,90291.2,825,1704
248,0.642,102605,77.654,102683,830,1715
249,0.476,0.16,14780.7,14781.5,830,1715
250,0.752,0.276,13862.5,13863.7,830,1715
251,177851,36531.3,9976.77,224359,832,1719
252,0.374,0.196,18174.7,18175.4,832,1719
253,0.365,38786.2,10024.1,48810.8,834,1723
254,178493,42048.1,11635.4,232177,836,1727
255,182513,90601.9,64.584,273179,840,1735
256,185022,46336.9,10062.1,241422,842,1739
257,0.489,135355,6772.53,142129,848,1751
258,0.503,38733.2,7733.62,46467.5,850,1755
259,0.379,140324,7103.37,147428,856,1767
260,0.41,83232.5,71.197,83304.3,860,1775
261,0.66,39631.5,8691.64,48323.9,862,1779
262,0.732,0.119,10871.8,10872.8,862,1779
263,0.516,0.27,16614.6,16615.5,862,1779
264,0.334,0.108,14315.2,14315.8,862,1779
265,184726,37595.3,9792.67,232114,864,1783
266,0.323,87505.9,81.285,87587.6,868,1791
267,0.491,85261.7,6949.04,92211.4,872,1799
268,0.522,79700.6,5705.31,85406.6,876,1807
269,0.67,0.041,7255.6,7256.46,876,1807
270,0.495,80607.4,5713.47,86321.5,880,1815
271,0.473,90308.5,74.819,90384,884,1823
272,0.593,106143,90.485,106234,889,1834
273,0.465,88039.6,67.959,88108.2,893,1842
274,0.444,39349.4,9788.63,49138.6,895,1846
275,0.725,82174.8,7256.06,89431.8,899,1854
276,0.529,88877.2,6998.76,95876.7,903,1862
277,0.557,93943.3,6441.17,100385,907,1870
278,0.746,91543.5,80.661,91625,911,1878
279,0.437,88558.3,7227.35,95786.3,915,1886
280,197870,44508,10078,252457,917,1890
281,0.393,0.13,12353.7,12354.4,917,1890
282,0.474,92099.7,7118.71,99219.1,921,1898
283,0.438,62550,79.095,62629.7,924,1905
284,1.85,38878.2,8765.04,47645.3,926,1909
285,212165,44872.3,9446.17,266483,928,1913
286,0.493,0.181,14696.2,14697,928,1913
287,198394,38330.6,8677.51,245403,930,1917
288,0.491,171510,6198.17,177709,938,1933
289,0.546,177433,6946.28,184380,946,1949
290,201303,41317.1,9655.41,252276,948,1953
291,0.443,41196.1,7817.46,49014.1,950,1957
292,0.402,40406.6,9189.7,49596.9,952,1961
293,0.468,0.267,14849.2,14850.1,952,1961
294,0.306,38435.1,8559.64,46995.2,954,1965
295,0.457,38056.3,7393.11,45450,956,1969
296,0.46,40828.6,10227.4,51056.6,958,1973
297,212896,44262.1,10008.1,267167,960,1977
298,0.466,36740.5,7377.85,44119,962,1981
299,0.51,88956.8,6320.07,95277.6,966,1989
300,1.063,36178.4,8123.8,44303.4,968,1993
301,206098,44799.5,8242.65,259140,970,1997
302,0.397,0.193,9177.48,9178.26,970,1997
303,0.502,0.086,10878.7,10879.4,970,1997
304,0.391,17270.1,4773.3,22044,971,2000
305,212960,39736.4,8619.17,261316,973,2004
306,0.399,0.071,13857.1,13857.7,973,2004
307,0.268,58082.5,5256.03,63338.9,976,2011
308,0.353,45508.1,9977.68,55486.3,978,2015
309,0.342,0.383,14492.5,14493.3,978,2015
310,207876,59915.7,91.718,267883,981,2022
311,0.389,62977.8,5583.42,68561.8,984,2029
312,0.39,0.153,13788.9,13789.6,984,2029
313,209613,81667.5,6172.9,297454,988,2037
314,0.535,91111,74.615,91186.3,992,2045
315,0.546,129134,6718.43,135853,998,2057
316,0.346,0.168,8014.89,8015.57,998,2057
317,0.265,0.376,7809.57,7810.35,998,2057
318,0.302,0.264,7839.47,7840.2,998,2057
319,0.188,37154.7,8095.42,45250.5,1000,2061
320,0.226,43619.4,8312.18,51931.9,1002,2065
321,0.314,0.427,15276.6,15277.5,1002,2065
322,0.365,37656.3,8209.84,45866.7,1004,2069
323,0.372,40505,8221.63,48727.1,1006,2073
324,0.327,218614,6189.49,224804,1016,2093
325,0.664,0.308,13567.5,13568.6,1016,2093
326,0.258,0.238,16689,16689.7,1016,2093
327,0.373,90319.5,128.441,90448.6,1020,2101
328,0.308,60781.5,107.566,60889.5,1023,2108
329,0.357,43414.4,8041.01,51456,1025,2112
330,0.321,94308.5,102.473,94411.4,1029,2120
331,0.54,42182,7877.83,50060.6,1031,2124
332,0.58,0.083,7272,7272.8,1031,2124
333,0.466,0.236,14415.6,14416.4,1031,2124
334,0.389,126551,5439.25,131991,1037,2136
335,221318,44725,10020.7,276064,1039,2140
336,0.359,0.055,6851,6851.53,1039,2140
337,0.332,41163.1,8742.01,49905.7,1041,2144
338,0.333,17325.2,4080.77,21406.4,1042,2147
339,0.574,40346.1,8718.17,49065.1,1044,2151
340,0.383,43473.2,10655.1,54128.8,1046,2155
341,0.383,94021.3,6514.38,100536,1050,2163
342,0.482,0.39,9124.59,9125.63,1050,2163
343,0.447,37729.9,9581.56,47312.1,1052,2167
344,0.405,0.176,8837.51,8838.24,1052,2167
345,0.265,0.345,9064.53,9065.29,1052,2167
346,233901,39767.2,10729.6,284398,1054,2171
347,0.572,0.078,13681,13681.8,1054,2171
348,0.34,85840.9,95.518,85936.9,1058,2179
349,0.39,0.153,13589.1,13589.7,1058,2179
350,0.7,18297.4,4628.81,22927.1,1059,2182
351,0.302,39663.2,7402.64,47066.3,1061,2186
352,0.276,37974.8,8575.07,46550.3,1063,2190
353,0.241,40434.3,10353.2,50787.9,1065,2194
354,0.311,37087.6,8736.14,45824.2,1067,2198
355,0.296,35857,7793.05,43650.6,1069,2202
356,0.537,38923.3,8631.73,47555.8,1071,2206
357,0.428,40033,8805.65,48839.2,1073,2210
358,0.437,38414.6,7951.29,46366.5,1075,2214
359,0.464,37425.8,8052.34,45478.8,1077,2218
360,0.473,37567,7987.57,45555.2,1079,2222
361,0.373,0.112,6477.55,6478.18,1079,2222
362,0.208,90383.3,95.4,90479.1,1083,2230
363,0.36,0.142,16765.8,16766.5,1083,2230
364,0.366,39306.4,8350.84,47657.7,1085,2234
365,0.382,133521,6947.65,140470,1091,2246
366,0.361,86530.7,6998.23,93529.5,1095,2254
367,229850,40536,10033.3,280419,1097,2258
368,0.413,169626,6292.16,175919,1105,2274
369,0.514,40652.9,8558.6,49212.1,1107,2278
370,0.478,0.166,18055.2,18056,1107,2278
371,0.35,41142.7,8729.96,49873.2,1109,2282
372,0.398,17694,4897.99,22592.6,1110,2285
373,0.4,17978.8,4349.85,22329.2,1111,2288
374,0.356,37411.5,8326.21,45738.2,1113,2292
375,235483,41377,8267.53,285127,1115,2296
376,0.479,58858.4,114.679,58973.8,1118,2303
377,0.455,102405,6069.34,108475,1123,2314
378,0.551,0.079,6773.75,6774.52,1123,2314
379,0.417,35149.3,7368.88,42518.8,1125,2318
380,0.704,144886,6308.98,151196,1131,2330
381,0.39,0.278,14426,14426.9,1131,2330
382,0.452,0.163,13600,13600.8,1131,2330
383,0.35,100539,6843.33,107383,1135,2338
384,0.405,37751.6,9043.48,46795.7,1137,2342
385,243838,36056.1,8505.32,288400,1139,2346
386,0.452,84875.8,89.293,84965.7,1143,2354
387,0.56,39146.4,10017.4,49164.6,1145,2358
388,0.319,37361.3,8587.16,45948.9,1147,2362
389,0.594,0.258,16540.4,16541.4,1147,2362
390,0.403,0.266,16854.1,16854.9,1147,2362
391,0.432,36969.5,8932.85,45902.9,1149,2366
392,0.418,0.34,10681.5,10682.4,1149,2366
393,0.492,79789.6,143.287,79933.5,1153,2374
394,0.502,91036.5,100.447,91137.6,1157,2382
395,0.391,18285.9,4592.76,22879.2,1158,2385
396,0.347,42377.3,10632.4,53010.2,1160,2389
397,0.381,0.454,16941.1,16942.2,1160,2389
398,0.384,82629.4,138.595,82768.5,1164,2397
399,0.304,173254,5987.06,179241,1172,2413
400,0.485,0.111,13867.8,13868.6,1172,2413
401,0.429,180022,6754.92,186778,1180,2429
402,0.709,103493,7871.93,111366,1185,2440
403,0.746,95087.8,119.21,95207.9,1189,2448
404,0.491,146269,7007.69,153277,1195,2460
405,0.475,0.101,15117.8,15118.6,1195,2460
406,0.639,0.152,14637.7,14638.7,1195,2460
407,0.58,100190,111.912,100302,1199,2468
408,0.509,0.156,14770.9,14771.7,1199,2468
409,0.553,0.284,8655.39,8656.36,1199,2468
410,0.384,0.236,12365.4,12366.2,1199,2468
411,0.356,133693,7278.05,140972,1205,2480
412,0.394,0.076,14094.7,14095.3,1205,2480
